路線　,4G下載,4G上傳,3G下載,3G上傳
基隆市,40.91,15.77,7.97,1.31
宜蘭縣,27.49,12.1,6.52,1.12
台北市,29.39,15.12,6.22,1.09
新北市,35.54,15.6,7.13,1.08
桃園市,32.11,14.14,6.84,1.11
新竹市,36.05,14.95,8.21,1.18
新竹縣,32.26,11.19,5.57,0.98
苗栗縣,38.72,14.2,7.34,1.11
台中市,34.26,17,6.15,1.18
彰化縣,36.61,13.53,5.82,1.08
南投縣,39.78,14.37,6.88,1.15
雲林縣,35.13,7.15,5.42,0.84
嘉義市,31.95,10.85,6.13,1
嘉義縣,28.69,7.2,4.74,0.7
台南市,30.96,9.69,5.44,0.85
高雄市,28.87,9.65,5.48,0.89
屏東縣,30.68,7.76,5.17,0.84
台東縣,25.21,9.68,6.15,1.33
花蓮縣,28.97,11.61,5.87,1.17
金門縣,26.01,7.13,7.13,0.87
澎湖縣,35.39,8.58,9.83,1.47
連江縣,30.86,10.24,7.12,0.99
國道1,29.43,16,5.14,1.14
國道2,35.65,15.26,7.02,1.15
國道3,38.01,15.15,6.53,1.27
國道3甲,42.37,17.59,7.71,1.18
國道4,39.91,13.57,6.61,1.19
國道5,28.72,12.61,6.89,1.06
國道6,51.57,19.28,8.18,1.45
國道8,25.35,9.53,4.06,0.79
國道10,34.69,11.25,5.85,0.78
台61,31.27,7.13,4.59,0.8
台62,46.55,16.79,6.78,1.21
台63,31.07,16.89,5.88,1.11
台64,23.79,15.49,6.15,1.07
台65,20.17,16.52,4.41,1.09
台66,28.05,14.98,4.82,1.11
台68,28.11,12.15,6.57,1
台72,37.23,17.97,7.37,1.09
台74,29.22,17.7,5.34,0.99
台76,31.53,14.69,6.17,1.05
台78,29.65,8.05,4.62,0.86
台82,35.53,9.34,5.86,0.99
台84,50.73,10.55,6.91,1.01
台86,35.23,7.75,4.67,0.83
台88,24.58,8.17,4.75,0.96
高鐵全線,17.14,7.97,2.45,0.57
台鐵,25.07,12.27,5.13,1.06
中和新蘆線,46.17,4.7,10.52,0.89
文湖線,39.4,19.48,6.97,1.08
松山新店線,54.57,9.23,12.11,0.86
淡水信義線,32.8,9.96,7.63,0.77
板南線,61.51,12.6,9.73,0.83
高捷(紅),37.97,11.89,8.19,1.05
高捷(橘),47.82,10.36,10.29,0.95
